评论时间,姓名,点赞数,评论内容
2020-02-24,阿里巴巴,59214,我放弃了。粉丝超过就超过吧。我整不动活儿了。你们又不是用我上网课，我整个[鸡腿]的活儿。[呆]	
2020-02-24,支付宝Alipay,42865,我是来捧场蹭粉的[tv_鼓掌]	
2020-02-25,河南农业大学,27586,"假如视频做的好，一键三连少不了
可惜功能再强大，五星分期不能忘～	"
2020-02-24,闲鱼,25634,兄弟整活我捧场[热词系列_打卡]	
2020-02-24,火之幡米拉,12943,钉钉啥都好，就是星星少[doge]	
2020-02-24,四川共青团,15773,你说你这个高产高质，我咋办啊[呆]	
2020-02-24,天猫发言人,22217,你说钉钉有啥好，不是蝙蝠是只鸟（燕子）	
2020-02-24,神笔马花藤,10391,@支付宝Alipay  支总，你可是阿里家的嫡长子，明明是你先来的，你现在看看钉钉坐拥40万粉丝，兵强马壮。一声令下从者如云，就连您的父王也忌惮三分。殿下，您只要把花呗购物车什么的清空一下，洒家愿为您当先锋，讨打不孝逆子，让钉钉小贼明白，您才是阿里家的当家皇子。殿下莫要犹豫了，咱反了吧[生气]	
2020-02-24,哈尔滨工程大学,13134,好就好在，我不用，看别人用[吃瓜]	
2020-02-24,钉钉DingTalk,17309,歌词你们觉得我需要发吗[tv_冷漠]	
2020-02-24,卫星wxvc,6969,钉钉只要不上课最好[doge][doge]	
2020-02-24,凯玟桑,5934,啥玩意！？？	
2020-02-24,支付宝Aligay,14314,给我也做个鬼畜吧兄弟[鸡腿][鸡腿][鸡腿]	
2020-02-24,Varmilo阿米洛,3779,不愧是你	
2020-02-24,SpectreAX,3712,官方发现当一个鬼畜up更有前途[热词系列_知识增加]	
2020-02-24,山东财经大学东方学院,3436,只有我们想不到的，没有钉钉做不到的[doge]	
2020-02-24,可靠de伏特加,2812,奇怪的热评增加了[吃瓜][吃瓜]	
2020-02-25,阿里云,1818,这里有个最惨官方号，大家不来看看嘛？据说二级号不配来评论，是这样吗？	
2020-02-24,Novo清欢,1529,这个莫的灵魂，一人血书让上次那个叫爸爸的翻唱[蛆音娘_滑稽][蛆音娘_滑稽]	
2020-02-24,蜂蜜釉紫皮,2298,@阿里巴巴  你儿子又整活涨粉了，快出来对线	
2020-02-24,Yi只7安,1441,你啥都好[doge]	
2020-02-25,中国教育报,973,妙啊	
2020-02-24,鸽子不咕啊,1572,给你一星是怕你骄傲[抠鼻]	
2020-02-24,Old-Potato,1034,钉钉你来当up主算了，我三连养你！[妙啊]	
2020-02-24,-9檤轮囬-,728,钉钉好处都有啥，谁说对了就给他[tv_doge]	
2020-02-24,泡泡奶芙-,764,你是想拿百大吗？[doge]	
2020-02-24,路易斯酸,714,你你你……你这个钉钉……大家都给你一星……可恶！涨粉倒是挺快的，这种让我们酸的up！拖出去泡   铝   热   剂！（你让你爸情何以堪？哈哈哈我上网课不用这软件讲话硬气吧！嘿嘿嘿！）[偷笑]	
2020-02-25,济南市莱芜一中,583,“密聊爸妈看不到”？[热词系列_知识增加]	
2020-02-24,喝茶的医生,454,钉钉的运营小姐姐最好[doge]	
2020-02-24,Happynewyear_QwQ,843,"歌词：
哟！哟！
你说钉钉有啥好
密聊爸妈看不到
阅后即焚就是飒
谁翻记录也不怕
除了这个还有啥
互赠尊贵的勋章
与众不同的头像
鹤立鸡群在荡漾
你有我有大家有
一天一换好嗨哟
老外找我钉钉聊
A I 翻译任你唠
N 国语言随便翻
走遍天下不翻船
智能助理真是妙
又有耐心又会教
群聊把图天天斗
疯狂刷屏我爱豆
你有目标我也有
一个亿也可以有
听说你我是同好
兴趣圈子搞一搞
你说钉钉妙不妙
多少功能不知道
哟！哟！	"
2020-02-24,泡猫茶,416,不得不说，这是我看过最敬业的up，视频质量很高，发的又快，我一定要给他投币三连（	
2020-02-24,梦境的美好,425,请问这里是钉哩钉哩吗[doge]	
2020-02-26,天猫,385,钉钉真的很不错，打分五星都不够！[热词系列_吹爆][热词系列_高产]	
2020-02-25,华侨大学招生处,320,看这粉丝量，超过阿里巴巴指日可待[滑稽][吃瓜]	
2020-02-24,小铃铛233,309,怎么不是人声了，取关了[doge]	
2020-02-24,神州上仙护佑人间,471,问一下，你们b站投稿挣的收益，是算工资还是算奖金？@钉钉DingTalk	
2020-02-24,明月清风思念来,239,真就进军鬼畜区了[吃瓜]	
2020-02-24,全民坏叔叔,223,@阿里巴巴 出来对线！[滑稽][滑稽][doge][doge]	
2020-02-24,时者时,217,儿子长大了，终于从2D变3D了[妙啊]	
2020-02-25,六哥尔,244,高三党[笑哭]已经沉迷阿里家族鬼畜了，点一个赞学习十分钟！说到做到！！！！！	
2020-02-24,咿呀儿嘿哦,177,从这么多视频可知，钉钉作为up主还是很成功的	
2020-02-24,小螃蟹Pang_xie,215,看，现在疫情这么严重，还让钉钉的工作人员加班做鬼畜，建议大家打一星，下架了钉钉工作人员就能逃过资本家的压榨啦[doge][doge][doge][doge][doge][doge]	
2020-02-24,bili_81599364962,161,"★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
钉钉真实好用！一次付清了！不用谢！	"
2020-02-25,Anubis-燃萨,137,官方号里最能整活的，鬼畜区里最官方的	
2020-02-25,AutoFull傲风电竞椅,114,害怕[热词系列_知识增加]	
2020-02-24,多玩我的世界盒子官方,149,"钉钉
办公软件（×）[滑稽]
音乐软件（√）	"
2020-02-25,中兴手机情报官,108,小兴感觉好害怕~	
2020-02-24,故事乡_,103,欢迎钉钉加入鬼畜区[doge]	
2020-02-25,上海惠迪吉公益,82,你这波[热词系列_不愧是你]	
2020-02-24,转角遇见蔡徐坤,100,哎，钉钉会唱，跳，rap，什么时候发律师函啊[OK]	
2020-02-25,罗夏1985,63,突然意识到一个问题。。钉钉原来是面向广大社畜的，一个办公软件的主打功能却有阅后即焚保隐私？谁的隐私？社畜的？我和老板、hr的每一次对话都有可能成为我被强制裁掉后寻求n+1的证据，然后你来一手阅后即焚？上班打卡在钉钉，任务工作在钉钉，离职后老板把我一踢出钉钉群，啥证据都没了，阅后即焚，真棒。一个创始人在公开场合说996是福报的公司，从这种企业文化里诞生的产品，一个资本家手里的大棒，还敢洗？？洗nmlgb，红色共和国提防的就是这种资本主义荼毒，你营销一次就得了呗，害搁这洗，洗nm，给老子爪巴[嫌弃][嫌弃]	
2020-02-24,卷mer,103,我看这2min前我觉得我的机会来了，但是我想不出骚话!嘤嘤嘤[呆]	
2020-02-25,中V乐正龙牙,59,我说谁收了钉钉的钱这么能吹[调皮]原来是本尊[吃瓜]	
2020-02-24,JOJO爱喝白开水,58,你说钉钉妙不妙，学生网课崩不了[热词系列_锤]	
2020-02-24,账号已注销,50,"去年年中一起劳动仲裁，案件中涉及了钉钉。公司是用钉钉签到的。

工人没签劳动合同，需要考勤信息来证明劳动关系。仲裁机构的人以为可以从钉钉导出考勤表（这样的证据信服度高），结果只能老板导出，员工连自己的考勤表都不能导出。

给钉钉客服打电话，客服说必须当地司法部门出具证明，他们才能给出相关的信息。

而且，在钉钉被踢出公司群之后，在原公司的所有东西都不见了，自己都看不了，包括考勤。

后来说开了证明还得去阿里巴巴杭州本部弄。

最后工人提交了在没被公司踢出群之前截的考勤记录的图，再加上一堆其他乱七八糟的证据。

仲裁员认可工人提交的证据，当时查的时候有好多地方只提交电子证据的话，压根儿连立案都立不了。
这很可能是钉钉被骂的原因之一——根本没有为工人着想（当然也不可能）。有的工人因为打官司需要，甚至已经找法院开具了提取证据的证明。但是钉钉却以后台更新数据丢失来回应他。他之前问的时候钉钉说他们保存了数据，等他一个月后开出证明，钉钉又说数据没了。	"
2020-02-26,你是小豆包v,62,"忠厚老实太子爷——淘宝
腹黑心机二皇子——支付宝
太子跟班三皇子——天猫
醉心艺术四皇子——闲鱼
独得恩宠七皇子——钉钉
年度宫斗大剧预热中	"
2020-02-24,MasterYiCarryYou,54,奇怪的RAP增加了[热词系列_知识增加]	
2020-02-25,虾龙小烈忠门满,56,"偷偷逃离钉钉B站闲逛
闲逛B站还是来看钉钉
横批：死亡循环	"
2020-02-24,花花发芽发,56,高产似母猪	
2020-02-24,夜猫们出来晒月亮了,57,在这场网课风波之前，本人就已经体验过钉钉和企业微信两个办公软件，钉钉真的是被企业微信吊打的存在，不为其他，就为打卡，钉钉的打卡机制真的是非常的反人类，连接企业WiFi才可打卡，时有时无的打卡宽限期，单位要求九点打卡，九点零五分是宽限期，但软件经常把九点零一 九点零二的打卡记录视作迟到。然后就是提交补卡这个操作，非常可笑的是，这个提交补卡的选项，根本就不存在，只能联系管理员亲自操作来补卡。还有经常消失的表单，用着用着就突然消失，对工作造成极大的不便，作为一个办公软件本身就已经不行，现在还要在网课直播上参上一脚，这五星好评分期付真的给的一点都不亏	
2020-02-24,辉月之芒,43,不是那个求饶的小姐姐唱，给爷爬[无语][无语][无语][无语]	
2020-02-25,芸梵y,33,"第一个视频：喊爸爸认错，洗白
第二个视频：疯狂洗脑
第三个视频：推销产品优点
[doge][doge][doge]	"
2020-02-25,叫兔兔的SKa2or,31,啥？又想让我们二创？[热词系列_知识增加]	
2020-02-24,佛系墨宝,34,我还是想康钉钉叫爸爸的视频的那个唱歌的小姐姐[酸了]	
2020-02-25,惊了很蓝瘦,25,最近网上老是有人问：钉钉是个什么东西。我打开电脑一查，这电脑歪歪斜斜的每幕上都写着“人道” “学生就该一直学习” “我们没错”几个字，我横竖睡不着，仔细看了半夜，才从字缝里看出来，满屏上都写着两个字 吃人！救救孩子！！！	
2020-02-24,不会魔法的巫师w,29,钉钉啥都好，钉钉加油，快有五十万粉咯！	
2020-02-24,阿戴里娜,30,可恶的钉钉，我今天被班主任罚1000字检讨，我们一星见吧[灵魂出窍]	
2020-02-25,一万只皮卡丘-,27,"纵使被组团刷一星，钉钉这一波也是稳赚不赔的，因为制造钉钉的人们很明白，用不用它不是吐槽的人说了算，是老板/领导们说了算。纵使员工再不满，也无权在工作中拒绝老板使用钉钉的要求，所以也无碍这一软件的推广。相反这个舆情更是给它免费的广告，让更多的老板了解到了还有一个这么操蛋的工具——那还不赶紧用起来。真是绝佳的讽刺。
——大浪淘沙	"
2020-02-24,隔世绝尘的世外桃源,27,"我爱死这个软件了呢!
★☆☆☆☆	"
2020-02-25,隔壁小孩的阿伟,21,"你说钉钉有啥好
老师天天查水表作业如果不上交
手机威胁少不了除了这个还有啥
连游戏都玩不了与众不同的头像
老师看到就凉凉你有我有大家有
全体罚写好嗨哟老外找我钉钉聊
可我不认识老外N国语言随便翻
我都不懂怎么办智能助理真是妙
连个跳舞都不会群聊把图天天斗
老师面前谁敢刷你有目标我也有
五星分期可以有听说你我是同好
那不赶紧点个赞你说钉钉妙不妙
多少学生要发飙你的双击么么哒[妙啊][妙啊][妙啊][妙啊][妙啊]	"
2020-02-25,惊了很蓝瘦,17,钉钉是一款面向企业管理者的软件，目的就是剥削劳动者在996之后的那点儿可怜的剩余价值。在钉钉没用于网课之前，就是一款资本家剥削劳动者的工具	
2020-02-26,0咕咕咕咕咕咕咕咕0,15,只要钉钉有已读功能，就不可能打入生活圈，最多是个社畜软件扛把子……老板的福音，员工的噩梦……	
2020-02-25,独山不是玉,18,哈哈哈，真把自己当什么好东西了？[无语]	
2020-02-26,江之岛盾子1024,14,钉钉是一款面向企业管理者的软件，目的就是剥削劳动者在996之后的那点儿可怜的剩余价值。在钉钉没用于网课之前，就是一款资本家剥削劳动者的工具	
2020-02-25,Cokkey,14,这热度推的，营销野心不小	
2020-02-25,岁心流年,14,钉钉，告诉你一个好消息。毛坦厂决定上网课用你了。我为此感到高兴。相信很快你就可以突破20w差评大关了	
2020-02-25,一只星子,14,钉钉！求优化！！！暂停键可以不显示嘛，挡住记笔记太难了，放大能旋转吗，真的每天眼睛都要瞎了（录播）	
2020-02-25,梅林的胡子T_T,13,你说钉钉有啥好 帮助剥削真奇妙 7??24小时 回家你也跑不了[热词系列_你细品]	
2020-02-25,麻烦叫我滚回去学习QAQ,20,这公关要写入教科书里的[热词系列_知识增加]	
2020-02-26,Staggered_,12,不得不说钉钉的公关能力很强，强行把风头转向娱乐方面。但凡用过钉钉的社畜都对钉钉深恶痛绝。因为钉钉是给老板服务的，不是给员工服务的。原本5*8的上班时间在钉钉上变成了7*24。我对钉钉毫无好感，继续一星	
2020-02-25,京阿尼是神仙,19,哇，这个app真的太棒了吧!快，大家5星刷起来啊啊啊啊!!!	
2020-02-26,bili_402907300,10,没啥好的。真的。赶快下架吧。我们就是奴隶。	
2020-02-25,柚木普-真,10,我觉得钉钉没啥好	
2020-02-25,咚咚敲你头,10,本来觉得钉钉就是正常软件，但是你现在炒作越来越作了，利用这次机会你倒是能发不少财[OK]	
2020-02-24,达伦呐,16,哔哩哔哩知名音乐曲UP主	
2020-02-25,路漫漫慢慢熬吧,14,其实也就几千播放量，但是这几千个人刷了无数遍。[妙啊]	
