评论时间,姓名,点赞数,评论内容
2020-02-26,全民坏叔叔,54818,有些人钉钉看着看着就成了哔哩哔哩[doge]	
2020-02-26,天猫,64004,日常蹭热度，顺祝各位宝宝金榜提名！	
2020-02-26,阿里巴巴,78453,看来今天粉丝就要超过我了，今天没活儿~	
2020-02-26,中国民航飞行学院TV,31627,加密通话：钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉[滑稽][吃瓜]	
2020-02-26,菜鸟_Cainiao,46628,[热词系列_猛男必看]阿里最惨官方前来报道[偷笑]	
2020-02-26,炼金课代表,23936,在?你已经嚣张地换了头像了?[doge]	
2020-02-26,中国联通客服官方,21055,再酸一下[支持]	
2020-02-26,支付宝Alipay,46279,哈哈这个mv好看	
2020-02-26,阿里达摩院扫地僧,31857,听说很快就有一群阿里系的官号要来了，我作为一个四级号，当然要有四级大佬的亚子。另希望同学们好好用钉钉学习，以后也来我们达摩院工作，老僧欢迎你们来和我做同事，一起研究量子计算、芯片和人工智能。[doge][doge][doge]	
2020-02-26,中国民航大学学生会,15325,你也是钉着钉着就bilibili了吗[tv_笑哭][tv_笑哭]	
2020-02-26,天猫发言人,12870,看完好饿啊，宫保鸡钉，焦糖布钉。。。	
2020-02-26,钉钉DingTalk,15775,其实很想问…………不是说25号结算吗 为啥我还是二级号哈哈(=?ω?=)	
2020-02-26,河南科技大学,14755,好听[doge]五星有了	
2020-02-26,你是小豆包v,7903,"忠厚老实太子爷——淘宝
腹黑心机二皇子——支付宝
太子跟班三皇子——天猫
醉心艺术四皇子——闲鱼
憨厚傻蛋六皇子——菜鸟
独得恩宠七皇子——钉钉
年度宫斗大剧预热中[doge]	"
2020-02-26,联想拯救者官方,20741,成功忘记原唱系列[滑稽]	
2020-02-26,重庆大学团委,7480,听到那个钉的一声，早起的睡意瞬间没有了[捂脸]	
2020-02-26,大连外国语大学,6020,建  议 出  道	
2020-02-26,因你而在的梦,22114,"原作填词君路过此地
发现对方正在申请互动
于是携郭导试图申请
中 门 对 狙: av88651718	"
2020-02-26,钉钉___DingTalk,8911,坏了，看来我得换头像了[doge]	
2020-02-26,Dscreamis,18567,很佩服钉钉的公关啊，被恶意刷一星后迅速做出最正确的方式，隔壁腾讯评分目前还是清一色的一星，钉钉上评分已经开始回暖了。特意下个钉钉五星好评[热词系列_可以]	
2020-02-26,Varmilo阿米洛,3583,钉钉钉钉钉钉！！！	
2020-02-26,-denaqii-,4196,一人血书钉钉娘出道1/100	
2020-02-27,哔哩哔哩UP主执事,2612,会不会粉丝超过我[冷]	
2020-02-26,_义言_,4098,太惨了，办公官方居然是个唱见[热词系列_知识增加]	
2020-02-26,闲鱼,2870,好好听！三多来教我唱歌[星星眼]	
2020-02-26,大连理工大学盘锦校区,2519,那啥……五星和三连你选一个吧，要不白嫖也是可以的[doge]	
2020-02-26,哥斯拉的小以巴,1961,"钉钉，我来感谢你，你让我火了！
事情是这样的，学校让我们通过钉钉搞教研，听评课！听完课，学科主任发起会议邀请评课！怪我太嫩，不知道这是个视频会议，穿着秋衣秋裤就接受了邀请……现在我在各个校区都火起来了！我谢谢你！	"
2020-02-26,郑州升达经贸管理学院,1992,厚  颜  无  耻  [大哭]	
2020-02-26,火之幡米拉,2647,换头像了!	
2020-02-26,山南之水北,4141,"不知为何，听着听着，鼻子一酸，泪水划过脸颊。
身为大学生的我，两周前还在幸灾乐祸那些使用钉钉上课的大中小学生们。结果，前两天，我也难逃被束缚的命运。。。除了学习，线上学习同时带给了我更大的工作量——建各种群，传达老师消息，提供学生反馈，帮助老师参谋钉钉的用法，一同测试网络直播效果...... 
人生而懒惰，这是人的天性——向往着安逸与舒适的天性。尽管迟早会有上课的一天，但也不愿这一天来到。打开钉钉的那一刻，我苦笑道：呵，我也难逃一劫呀??。
心中虽然有过几秒钟的抱怨，但是，在收到要上网课的消息之前，我早已听说了《钉钉五星分期事件》，看过了钉钉本家的求饶视频，以及各大UP主做的为钉钉“洗白”的视频，这些视频内容立刻替代了抱怨声。这些视频让我更加明确了这个道理：只有打破了自身的束缚，才能向更高的天际振翅飞翔！是，人生而懒惰，但这世上，也有不少打破天性束缚之人。他们勤劳、他们努力、他们自律，不论天赋如何，他们都有同一个特点，那就是始终在向前跑！
这就是为什么，钉钉的官方声明比起一部分声明，更加妥当，让我们易于理解、产生同情、感觉很亲近。这也是为什么xxt有时无法登录、MOOC会有繁忙的时候，但钉钉直播依然流畅（这是我自己用过后亲身的感受）。我们在学习、我们在上班，但钉钉的员工早就开始加班加点地工作了，这才保障了大家顺利的线上学习。本身他们集团大多数都算是人才，同时他们还在努力，这样的人不成功，天理难容！
看完这个视频，钉钉的功能让我赞叹；钉钉的陪伴让我感动；同时也让我愧疚，愧疚放假前说好自律，说好自主学习，但并没有坚持几天。多种情感交织在一起，我不禁留下了泪水。
这星期，只是网络测试，还没有正式上课。但是，我现在醒悟了！我要开始提前行动了！不能再颓废了！迈出第一步是无比艰难的，但只要迈出第一步，那就是成功的开始！
因缺少了学校的约束与氛围，加之不自律，很多同学觉得线上学习无用，又本身不愿学习，从而更加抵触，并迁怒钉钉。殊不知，那些自律的人，钉钉对于他们来说是个辅助工具，是他们的朋友，是在原有计划上帮助他们更好地安排与规划。正如一些UP主视频里所说：钉钉本无罪，只是个工具，但是在这个时间点，碰到了这种事，让一些不那么爱学习的学生找到了发泄的地方。
最后，谢谢钉钉，让我能更深刻地领悟到：生活不是等待风暴过去，而是学会在雨中翩翩起舞！感谢陪伴，接下来的日子，我们一起努力！	"
2020-02-26,金桂之剑Alice,2583,五星了五星了[doge]	
2020-02-26,Thekunna,1505,头像好好看[tv_调皮]	
2020-02-26,中兴手机情报官,1365,别以为你换了个头像小兴就认不出你[墨镜]	
2020-02-26,河南农业大学,1422,农农爱上钉钉的声音了，学习使农农快乐。我要去改五星[微笑]	
2020-02-26,四川信息职业技术学院,1047,钉钉出道，成为偶像吧！[小电视_我好兴奋]	
2020-02-26,染一墨就是盛夏,1718,我对钉钉一直是一星一意[doge]	
2020-02-26,湖南工程学院,775,"钉钉真可爱[惊喜]
这次三连一定[OK]	"
2020-02-26,万兴喵影,701,官V涨粉楷模，我也想...[酸了][酸了][酸了]	
2020-02-26,苦寂-,1355,？？？五星了五星了！一次付清！	
2020-02-26,丿灬白泽,796,钉钉原来是音乐区up主啊，那没事了[滑稽]	
2020-02-26,小电视_睿总认证,873,说实话，钉钉用起来还是不错的，比qq简洁，比微信用处多，挺讨人喜欢的，只不过他让我上课而已。[tv_doge][tv_doge][tv_doge]	
2020-02-26,二哥不是沙雕,606,我觉得钉钉最大的成功，是让我认识到他不是冷冰冰的软件，而更多的是像个孩子，喜欢[捂眼]	
2020-02-26,华侨大学招生处,481,钉钉的故事越来越玄了	
2020-02-26,白米饭真好吃,471,钉钉我爱你[打call][打call][打call][打call][喜欢][喜欢][喜欢][喜欢][喜欢]	
2020-02-26,叶羽风花闪,613,我觉得钉钉已经上头了，要不我们一星好评让她清醒一下[妙啊][妙啊][妙啊]	
2020-02-26,レムが大好きだよ,387,严厉批评这种换成美少女头像卖萌骗粉的行为!(不过我喜欢[滑稽])	
2020-02-26,坎瞳哦坎瞳,350,歌手出道第三首！终于不用叫爸爸了！[拥抱]	
2020-02-26,山东财经大学东方学院,312,好听[爱心]	
2020-02-26,济南市莱芜一中,299,好听呀！[鸡腿][鸡腿][鸡腿]	
2020-02-27,灵动创想官方,237,[妙啊] 害怕	
2020-02-27,起点读书-点娘,236,日常蹭粉，我一点也不酸	
2020-02-26,带带季子越,383,"我:神龙啊，实现我的愿望吧
神龙:我可以满足你的三个愿望，说吧
我:我想上课玩手机，想上课看直播，想在家上课
神龙:好的
于是钉钉诞生了[笑][笑][笑]	"
2020-02-26,昵称又浪费我6个硬币,316,逆子变逆女了[阴险][阴险][吃瓜][吃瓜][doge][doge][doge][doge][doge][doge][doge]	
2020-02-28,江西师范大学,223,在？什么时候出专辑啊[鸡腿]	
2020-02-26,Dahlia辰,201,妈呀，钉钉越来越可爱了，我都不忍心分期付款了[妙啊]	
2020-02-26,潍坊学院の鸢妹,241,你钉起来真好听~像开学的课一样~[热词系列_知识增加]	
2020-02-26,森锦先生物语,187,欢迎来到钉钉峡谷，各种大学小闪电还有30s到达战场，碾碎他们[doge][doge][doge]	
2020-02-26,永远的璃奈,143,阿里家族学着点，换头像！不二次元怎么融入我们[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]	
2020-02-26,夜之丿锋刃,142,我们班主任在钉钉里说b战是个好网站。。。。	
2020-02-26,首席术士林恩,153,单数卸钉钉，双数卸第五，没事别瞎赞[笑]	
2020-02-26,八米一の地理,190,"文言文版
冬日早上被窝
恐夫子见我
惟信钉三多
不为
虽无法回学
在家亦得上书
但愿今夏放榜时
追梦能真
我钉起真好
如宫保鸡丁
是爸妈之怀
师之热
使君臣相遇
我钉起真好
如焦糖布丁
酸涩之后
甜之忆
祝第
早起一杯玛奇朵
地铁挨了三里多
虽上班曲多
勿惧有余
朝九晚五事忙
至连庄会
赖日排得开
三多亦很乖
我钉起真好
皆可烦故也
以其烦恼
凡所忧
皆散
我钉起真好
欲助工作之君
以事生
皆分益明
汝亦松口气
我钉起真好
如宫保鸡丁
是爸妈之怀
师之热
使君臣相遇
我钉起真好
如焦糖布丁
酸涩之后
甜之忆
祝第
我钉起真好
皆可烦故也
以其烦恼
凡所忧
皆散
我钉起真好
有我在陪汝
无论事或学
苦乐相依	"
2020-02-26,辛道候是隻奶牛貓,148,不得不说，钉钉的运营真的很聪明，知道迎合学生的喜好，而不是像某些公司那样硬扛，不然即使没有做错什么也能被喷死。	
2020-02-26,萝莉结缘神乃乃子,143,其实这个官方很牛逼，你想想他故意招黑自己软件到官方号，在b站上瞬间到40几万粉丝这么大的流量，是不是给他们公司是个更好的宣传呢？不过看到了联通客服的粉丝那么简单的涨起来，我莫名的心疼了他。[滑稽]	
2020-02-26,雪茯尘拉,103,钉钉官娘真好看，冲冲冲把这歌推上主页！[热词系列_三连][热词系列_吹爆][热词系列_奥力给]	
2020-02-26,北城丶墨白,144,刚下网课就看到你发新视频[doge]	
2020-02-26,小鲜不肉,98,好听好听，我要小姐姐的全部资料[doge]	
2020-02-26,Caveiira,86,教科书一般的公关处理	
2020-02-26,大吃一津,76,我觉得，疫情结束后钉钉可以搞一点三多周边，一定会买的！！！	
2020-02-26,擅长被捉弄的西片同学,74,此后，钉三多被阿里粑粑开除了，但它收获了更多的爸爸[doge]	
2020-02-26,炼狱死神OL,81,竟然换头像了	
2020-02-26,skfng,80,你一个蝙蝠，头像怎么变人了？还想成精不成？[doge][doge]	
2020-02-26,秒速＆五厘米,59,说实话吧。我们今年高三的还挺感谢网课软件的。虽然在家学习效率不怎么样。但是也得学啊。想上郑州大学[加油武汉][口罩]	
2020-02-26,我TM巨帅,58,是时候逼自己一把啦，一个赞学十分钟[热词系列_这次一定]	
2020-02-26,萌宠之小黄人,55,只要官方回复我马上五星付清(应该没人看见吧？)[doge]	
2020-02-26,冰神Crazy,53,钉钉已经完全靠创作激励来赚钱了，逐渐忘记一星[呆][呆]	
2020-02-26,白凛是辣鸡耶,60,"∵钉钉官方号＝钉钉
∴看钉钉官方号＝看钉钉
∵钉钉官方号在b站
∴钉钉官方号＝b站
∴钉钉＝b站
∴看b站＝看钉钉[doge]	"
2020-02-26,消散のの,50,会要三连了 坏钉钉[阴险][阴险][阴险]	
2020-02-26,人生导师梓川咲太,45,说真的，高三党是真的谢谢这些软件[打call][奋斗][奋斗]	
2020-02-26,雾湿云鬟,59,众多周知，b站是个和谐美好的地方。像我这种3级小萌新，大佬们都会温柔的摸摸我的狗头，并且给我一个赞。(｀?ω?′)w	
2020-02-26,_唱游,47,你不是我认识的钉三多！	
2020-02-26,泡泡系是王道征途,44,为了拯救公司，钉钉今天正式虚拟偶像出道	
2020-02-27,棒冰plus,37,快，钉钉，日本中小学停课了，快!	
2020-02-26,废柴鸭_,46,以为钉三多是只公燕子的只有我嘛[热词系列_知识增加]	
2020-02-26,SYJ卷风,33,不要问我为什么不用钉钉却关注钉钉的账号[doge]	
2020-02-26,泠羽酱呀,44,钉钉的文案真是不得了  三连五星了[tv_doge]	
2020-02-26,改个名字真困难啊,30,有些人看钉钉，看着看着，就从钉钉退了出来，换到b站......继续看钉钉[tv_doge][tv_doge]	
