评论时间,姓名,点赞数,评论内容
2020-02-17,摇斧头,486100,"听说出了个新的直播软件评分很低 就下载试了试
难怪评分低 刚让主播跳舞都不愿意 还问我哪个班的	"
2020-02-16,念北不念东,209928,"想要五星好评？
叫支付宝和我谈[doge]	"
2020-02-17,大连理工大学盘锦校区,227245,要不这样，你让你大哥帮我花呗也一次付清可以嘛[doge]可以我立马五星送上	
2020-02-17,成都理工大学本科招生,302344,一个直播平台，在另一个直播平台，委屈求饶	
2020-02-16,中国联通客服官方,205184,一人血书求视频美颜功能[妙啊]	
2020-02-16,河南共青团,249051,[妙啊]免签卡能发一波不？	
2020-02-17,天猫,212791,你钉粉丝居然比本喵高这么多，本喵实惨。[无语]	
2020-02-16,阿里巴巴,350176,有了爸爸忘了爹？[呆]	
2020-02-16,花开一池光,151809,看看人家这官方回应，可以写进公关教科书了，阿里旗下有人才啊	
2020-02-16,重庆大学团委,120910,你求饶，也阻挡不了我明天用你上课[滑稽]	
2020-02-16,等一楼台,203959,"关于钉钉。
疫情之前：[tv_疑问]
听说之后：[无语]
看见别人开始网课：[吃瓜]
查看各大商城评论：[偷笑]
知到自己要用：[惊讶]
几天后：[灵魂出窍]	"
2020-02-17,没有一件事,69650,钉钉最终还是发现了，在B站鬼畜求饶才是救赎的道路[2233娘_卖萌][2233娘_卖萌]	
2020-02-16,大连交通大学菁菁交大,65454,在  线  围  观[吃瓜][吃瓜]	
2020-02-17,河南农业大学,112206,帮着种地就给五星[doge]	
2020-02-16,北大新青年,112183,曾经我觉得我们不会用钉钉上课，所以我给了五星....现在我也打算分期了[热词系列_知识增加]	
2020-02-17,西南大学团委,105522,你还敢开号？[doge]大家快来欺负他	
2020-02-16,二次元的中科院物理所,88071,"U1S1
不是钉钉那个软件有问题
如果网线那头是我们在讲课
你萌是不是就都给五星好评了
[doge][doge][doge][doge][doge][doge][doge][doge]	"
2020-02-17,你好历史旗舰店,30006,建议安装青少年模式？[doge]	
2020-02-17,湖北大学,64915,小贝喜欢分期[害羞]	
2020-02-17,四川共青团,86112,好的我来晚了，这次就不抢热评了[呲牙]	
2020-02-17,闲鱼,54942,性感黑燕，在线求饶[吃瓜][吃瓜]	
2020-02-16,燊海夕阳,57020,下次一钉	
2020-02-17,贵州中医药大学-易班,36878,钉钉[热词系列_知识增加]目前还没有消息的说[doge][滑稽]	
2020-02-16,路易斯酸,29498,为啥评论区清一色小闪电？！还都是热评？！！	
2020-02-16,艾瑞孢迪,27965,让你的姐姐支付宝把这我这个月花呗账单免了，我发动全校同学给你打五星[tv_doge][tv_doge][tv_doge]	
2020-02-17,AutoFull傲风电竞椅,20406,妈呀，一跪下来连钉钉都变得眉清目秀了（手动[doge][doge][doge]	
2020-02-16,上海交通大学,63121,我打五星，因为我希望大家能好好学习（其实是我们不用[妙啊]）	
2020-02-16,Yeeee-薯片,24461,在？装一下防沉迷[doge]	
2020-02-16,池鹿是兵长的红茶杯哒,35623,只要你女装，别说五星，三连我都给你[doge][热词系列_知识增加]	
2020-02-16,上条当麻的6个硬币,23314,来打卡了！建议搞个防沉迷[呆]	
2020-02-17,支付宝Alipay,99061,刚查了下，已经2星半了，从分5期到分2期，少侠们给力！这回就免息了！请少侠们再接再厉，早日实现一次付清[tv_笑哭]	
2020-02-17,MSI微星显卡官方账号,12890,啥时候把直播游戏给开通下[滑稽]	
2020-02-17,黄冈师范学院,47074,好了好了，五星好评(谁让咱不用呢)[doge][doge][doge][doge][doge][doge][doge][doge][doge]	
2020-02-16,傲娇是世界的财富,21129,钉钉确实挺好用的，但是我真的不想用来上课。	
2020-02-16,dRekinGb,18824,硬币拿好，这样至少你们失业之后还能撑一撑[doge]	
2020-02-17,玄羽网络科技有限公司,8246,还是个二级号，快来欺负他	
2020-02-17,郑州科技学院,15063,"科科觉得钉钉很good[点赞]
（反正官博君没用钉钉←_←）	"
2020-02-16,兔子-1994,43263,U1说1，官方敢于面对调侃面对差评，还能鬼畜自己确实态度已经不错了，毕竟谁都不想被大时代潮流的被迫选择，加油(? ??_??)?还有一句话说哪里有吐槽哪里就有商机，同时接受批评，同时强化自己。毕竟像我这样想学习的人已经都没机会了。祝各位同学.同事.朋友，学习工作事业，今后前程似锦，步步高升，飞黄腾达。加油(? ??_??)?	
2020-02-16,马化腾官方号,20365,五岁就这么惹人嫌，长大还得了，建议封杀[doge]	
2020-02-16,木得神社的神明,16942,"1星好评不是你的错，学生党给你打1星最主要的原因是因为他们学校和学校老师借助可以在家上网课所以无所顾虑的布置学习任务的原因造成的。     不好意思迁怒于你让你背锅了。
学校认为，在家上网课不算开学，并且借此机会大量布置作业和学习任务。我是个美术生深有体会。一张速写平均30分钟每天晚上10张，画的不好继续加[无语]，晚上不但有美术作业还有文化作业，一天6科作业，还在钉钉给你限时打卡。还没到高3，晚上要1点以后才能睡，早上6点30起床打卡。而且学校还下达了网课期间不认真的严肃处理，几次作业不好直接开除。在学校可以10点30熄灯，家里1点灯火通明[大哭]。而且还下达了用其他假期补这次在家的时间。。。。。。
 本来还想吐槽好多的，但我这边钉钉响了，长评就写到这了。。。。老师要继续带着我在作业的海洋中遨游了。。。。如果有朝一日让我当上教育局干部的话，我要给所有网课软件加个防沉迷系统[阴险]	"
2020-02-16,风启间,9478,刚下课 咳咳	
2020-02-16,北寒落天辰,8176,以后可以这样吹牛:那天我让钉钉喊我爸爸了[吃瓜]	
2020-02-16,我还在这里哟,10509,错的不是你，错的这个世界[妙啊]	
2020-02-17,济南市莱芜一中,6485,下次一定！[呲牙]	
2020-02-16,丢人番茄在线咕咕,25192,"★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
钉钉真实好用！一次付清了！不用谢！	"
2020-02-17,研究人类恶,4176,表面求饶，实际是官方聚会[doge][doge][doge]	
2020-02-16,坟前吸引鬼,4528,还在逛b站呢，明天起床上网课[tv_doge]	
